2025-01-15,Groceries,600.00
2025-01-15,Gas,100.00
2025-01-15,Other,300.00
2025-02-15,Groceries,600.00
2025-02-15,Gas,100.00
2025-02-15,Other,300.00
2025-03-15,Groceries,600.00
2025-03-15,Gas,100.00
2025-03-15,Other,300.00
2025-04-15,Groceries,600.00
2025-04-15,Gas,100.00
2025-04-15,Other,300.00
2025-05-15,Groceries,600.00
2025-05-15,Gas,100.00
2025-05-15,Other,300.00
2025-06-15,Groceries,600.00
2025-06-15,Gas,100.00
2025-06-15,Other,300.00
2025-07-15,Groceries,600.00
2025-07-15,Gas,100.00
2025-07-15,Other,300.00
2025-08-15,Groceries,600.00
2025-08-15,Gas,100.00
2025-08-15,Other,300.00
2025-09-15,Groceries,600.00
2025-09-15,Gas,100.00
2025-09-15,Other,300.00
2025-10-15,Groceries,600.00
2025-10-15,Gas,100.00
2025-10-15,Other,300.00
2025-11-15,Groceries,600.00
2025-11-15,Gas,100.00
2025-11-15,Other,300.00
2025-12-15,Groceries,600.00
2025-12-15,Gas,100.00
2025-12-15,Other,300.00
